Date Submitted,Workout Date,DT,Activity Type,Calories Burned,Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Link,WorkoutID,RouteID
3-Jul-13,7/3/2013,7/3/2013,Run,248,3.09605,1449,7.800261624,0,7.692049689,http://www.mapmyrun.com/workout/317846769,317846769,https://www.mapmyrun.com/routes/view/111694131
5-Jul-13,7/5/2013,7/5/2013,Run,488,6.11939,2903,7.906561493,0,7.588633827,http://www.mapmyrun.com/workout/319769555,319769555,https://www.mapmyrun.com/routes/view/239999017
8-Jul-13,7/8/2013,7/8/2013,Run,898,3.82938,1829,7.96038,0,7.53733,http://www.mapmyrun.com/workout/322701847,322701847,https://www.mapmyrun.com/routes/view/242354787
10-Jul-13,7/10/2013,7/10/2013,Run,249,3.09605,1390,7.482652627,0,8.018546763,http://www.mapmyrun.com/workout/323848253,323848253,https://www.mapmyrun.com/routes/view/111694131
12-Jul-13,7/12/2013,7/12/2013,Run,249,3.1,1379,7.41,0,8.09,http://www.mapmyrun.com/workout/325639761,325639761,https://www.mapmyrun.com/routes/view/111694131
14-Jul-13,7/14/2013,7/14/2013,Run,1579,7.02998,3472,8.23142,0,7.28914,http://www.mapmyrun.com/workout/327734819,327734819,https://www.mapmyrun.com/routes/view/246238729
20-Jul-13,7/17/2013,7/17/2013,Run,337,4.19,1914,7.61,0,7.88,http://www.mapmyrun.com/workout/332694099,332694099,https://www.mapmyrun.com/routes/view/163788234
20-Jul-13,7/20/2013,7/20/2013,Run,249,3.13319,1389,7.38863,0,8.12058,http://www.mapmyrun.com/workout/332696683,332696683,https://www.mapmyrun.com/routes/view/249908267
26-Jul-13,7/26/2013,7/26/2013,Run,738,9.33334,4515,8.0625,0,7.44186,http://www.mapmyrun.com/workout/338566099,338566099,https://www.mapmyrun.com/routes/view/254182355
29-Jul-13,7/29/2013,7/29/2013,Run,308,3.82,1730,7.55,0,7.95,http://www.mapmyrun.com/workout/341402113,341402113,https://www.mapmyrun.com/routes/view/242354787
