names,stars,dates,clicks,reviews
Harikrishnan,3,2021-04-05,4787,"Its surely consumes less data than original app, but many of you may not get comfortable with this interface. One of the major problems I faced was that stories are getting replayed many times without me doing anything. The next major issue is that if you dont like a post it comes to your feed everytime over and over again until you like the post. Hope Instgram Team will find a solution to these problems"
Piyush AryaPrakash,1,2021-04-06,3655,It's good to see that they are providing a lite version. But it doesn't even work . It's better to use in chrome than downloading lite. What's the problem - The feeds never get refreshed . You just have to scroll down and when you click refresh still you see the same feeds. Doesn't support links . Lags too much . Too much annoying while using the messenger. Despite having a good internet connection it keeps laging saying something went wrong. It's too slow
Badri narayan,4,2021-04-24,40,Very nice app as it is lite so it is good consume less data have limited things but I don't understand you can watch reels in app but if someone send you reels it shows not supported in lite so it should be fixed and during dark mode the text we type is not visible fix this too and everything is good 🤗
Deepa Joe,5,2021-04-23,12,It's good for teens and young for used but I don't know what happened to my account it doesn't work . I has send problem to instagram they is always leave the problem don't solve it . I like his app and few days it doesn't work properly so plz make a solution for it . I have given 5 star on it
AlameZone Tech,1,2021-04-06,1420,"I'm really excited for this Lite Version. But my Security is better than everything, i have already enabled two factor authentication on my account before using this version, but the time i was log into my account using this Version, my login details Password and Username was been successfully logged in without asking for That Two factor authentication Codes. You better Check that Issue of 2FA Bypass and fix it."
aenean,3,2021-04-24,528,"I'm happy that Instagram finally has the lite version. I've been waiting this for years. However, it still needs many improvements. A smoother UI, and I suppose the dark mode too. Keep it up. If FB lite version can do it, I'm sure you can too. 😄"
Liaqatali Nazari,3,2021-04-22,318,One of the most annoying issue that I have faced since using Instagram is it's video autoplay. It's a major problem for those who don't have enough access to internet. I hope Instagram time work on this issue
Shubh_07,1,2021-04-13,395,Its usually like i am using facebook lite. Just name and some thing changes nothing more. Lag problem. Not give permission to post a bunch of photos. Experience of using disappointed. Not a smooth run looks like free not provide sticker answers. Just hated this . I know its lite version but give us main function of real app .
nikhil nikhil,5,2021-04-17,92,"My phone is working on 2G network but it works very well , but there are some problems such as we can't upload videos, we can't answer any stickers, questions, polls, etc... and if we didn't like a post that post remain in the feed until we like it and also we can't see any live , if instagram try to solve this problems it will be the best app than now.But I always like instagram♡."
TANMOY SEN,1,2021-04-20,1199,"Instagram Lite App Play Store will add three new options to the new update 1. ""Data Saver"", 2. ""Multiple Photos"", 3. ""Video Call and Voice Record "". We request you to give these three options very soon, then we Instagram Lite app users will be very, very happy. Thanks."
ɳiƙ,4,2021-04-18,1353,"I love the smooth interface. So far, something that I've been waiting for from Instagram has finally come. Works well on my Nokia with Android 9 Pie. Tough there might still improvements. Also, please don't autoplay the video feed on timeline. Keep up the good work."
Mary Cris,4,2021-04-20,53,"The notification (bell) is already on the right top which is very good.My only problem is that,poll is not available in my IG story,and one more thing,my friend added me on their gc but why I can't enter, it says ""Error,something went wrong please try again later""even though my internet connection is good.Hope you will fix it."
Eymaan Mustafa,1,2021-04-17,536,Not smooth at all considering how little data is required to run it. Notifications' tab has to be refreshed either while using the app or when its closed. Lags as well. I opened a chat and the messages weren't showing up...even when they did they weren't completely loading
Imran Anshari,4,2021-04-22,5,"I like this version, but it would be better if it comes up with dark mode support. i enjoy this as it efficiently consume the storage of my phone"
Meisya Nurulia,5,2021-04-16,384,"Honestly, I just found out that Instagram has the lite version and I'm happy. because it has been a long time since I wanted Instagram to have a lite version for my small capacity cellphone. and I'm not that disappointed when using it. 💛💛🌻✨"
Sectar gaming,3,2021-04-09,31,"This app is good but not better than instagram.on this app Instagram lite ,I 'm unable too see reel and also not allowed data saving mood .And this app costs a lot of data.and also I can't change the basic chat theam of this app.but at last I will say only thar , Instagram is always good."
Priya Soomaroo,5,2021-04-22,4,Very easy to use and no problem sending stories and updating profile pictures!! Great work ! It make me happy to find my friends again
Anna D,2,2021-04-08,40,"Good for viewing news feed, but impossible to be used for loading own posts and other features from this social network are not working, isn't like Facebook lite, eventually instgram lite is only for listing and watching pages"
jia,3,2021-04-05,44,"it's good but u have to click on everything instead of swiping to get to the stories/chats + there's no dark mode like—?? really?, the good thing is that it doesn't take a HUGE space out of my tablet so that's good."
Lovely Army,1,2021-04-12,24,"I open it a while ago then few minutes past I tried to open it but it keeps saying I have a poor internet connection even though we have a good internet connection, also it logs alot and that makes me more irritated. Please fix this."
avee Sharma,2,2021-04-11,26,This app needs to improve a lot...there are lot of issues...like search option is not working properly....and there are few bugs as well.... kindly fix them...push regular updates
Lofi Walker,5,2021-04-03,147,This App Is So Good. I Love This App. But One Problem Is It Did Not Have 'Theme' As Well As 'Video Chat' Option. If It is Enabled Then It Will Might Good.
Saeed Cheema,4,2021-04-13,22,Nice app . But there is little bit problem .like it has no option of voice note . No camera filters plzz undate it also like original application .
Science World,1,2021-04-11,25,My messages are not sended to recepient..and when i refresh the page.... all messages which i have sended ..are gotten deleted...and not sent out of my inbox to recepient.please fix this bug.
Oyama Ngumla,3,2021-04-03,31,"It's a great app,but there is a whole lot missing, likee you can't post more than one photo and you can't add music to your stories"
Harshavardhan Malla,2,2021-04-08,19,"Horrible app, no other features work well except for explore and texting, we cant upload posts as our stories, there is very small character limit for commenting, we cannot watch reels shared by others"
Dananjaya,3,2021-04-16,16,"The wait is over for low spec handheld, it's lite, save more data. But not support dark mode. Please immediately fix it."
S. B,2,2021-04-09,12,"The app is still really unstable and randomly crashes after viewing a few posts even after so many updates. Also, please add the reels viewing feaute too."
Gaurav Naik,2,2021-04-19,10,Its good that there is a lite version of Instagram but it gets leg and it in between Stop working and while watching the reela the same reels are been shown again and again
Musa salisu Makeri,1,2021-03-28,3513,"Nice app, actually you devote very well during making this application lite Instagram, but there's little bit of some issues that you forget to fix it again, first 1, you did not fix theme for light/dark mode. 2, you should have to work on the IG connection, I mean put data control so that it may help to reduce consuming a lot of Instagram users. 3, you should have to fix speed replying during chatting. 4, make a standard stickers so that it will be exciting as well. Thank you!"
Root Virus,3,2021-04-17,10,Nothing loads currently...please guys either roll back to the previous app that worked fine or choose to FIX the current one ASAP...besides that ....👍 Work!
Akbar Hussain,3,2021-04-08,11,"Man at least change the emoji's visual, otherwise the app is fine until you don't find there are not as much features as the original version of app"
Daya Dayananda,1,2021-04-23,0,I hoped this will consume less data... But it also showing videos in explore tab which suggests videos that consume usual data
SUBHAJIT NANDI,1,2021-04-03,26,"Very much crashing And loading time is very very very very much long,,, please fix this problem As Soon As Possible...!!!!!"
Pothala Monika,4,2021-04-21,0,There is a login error Which says try after a few minutes before try again It's so weird I can't login into my account 😔 Solve it...
Duchess Freya,3,2021-03-21,6452,"Glad that Lite exists. Noticed that we can't create collections. There are basic emojis in the comments section. However, it lags and crashes more than the original Instagram. Kindly fix this. Thank you. Update: Recently, Lite has been crashing saying, ""something went wrong. Please try again later."" and I checked in a few times, still the same message. Kindly fix this. Thank you."
Joshua Jack,4,2021-04-14,12,"Great app except for one thing, i just can't turn off the auto video play, its annoying."
adarsh b,4,2021-04-08,19,"Its good for them who all are having low end devices......and there is a problem that it does not have dark mode.....,🥺🥺 Hope dark mode will come soon....🙃🙃"
Tae Texting fever,4,2021-03-29,411,"I am really happy with this app, everything is perfect... even my one of my favourite BTS members ' Jungkook ' is following me on Instagram which is very amazing.....the only problem I have is that Instagram doesn't allow me to post pictures I've taken a long time ago, it only allows me to post pictures I've taken recently.... can you please fix that error"
