iter	RMSE
0	3189559.082
1	3189559.082
2	3189558.76
3	3189558.76
4	3189558.597
5	3189558.497
6	3189558.125
7	3189558.125
8	3189558.01
9	3189557.642
10	3189557.582
11	3189557.508
12	3189557.508
13	3189557.477
14	3189557.016
15	3189556.967
16	3189556.967
17	3189556.892
18	3189556.892
19	3189556.844
20	3189556.787
21	3189556.634
22	3189556.112
23	3189556.112
24	3189555.707
25	3189555.707
26	3189555.092
27	3189555.018
28	3189554.944
29	3189554.816
30	3189554.752
31	3189554.752
32	3189554.752
33	3189554.576
34	3189553.839
35	3189553.124
36	3189552.65
37	3189551.961
38	3189551.961
39	3189551.86
40	3189551.479
41	3189550.977
42	3189550.977
43	3189550.977
44	3189550.868
45	3189550.868
46	3189550.143
47	3189550.143
48	3189550.143
49	3189549.788
50	3189549.788
51	3189549.374
52	3189548.431
53	3189548.166
54	3189548.166
55	3189548.07
56	3189547.295
57	3189547.295
58	3189546.829
59	3189546.513
60	3189546.088
61	3189546.088
62	3189545.973
63	3189545.973
64	3189545.973
65	3189545.942
66	3189545.942
67	3189545.612
68	3189545.488
69	3189545.068
70	3189544.825
71	3189544.436
72	3189543.902
73	3189543.902
74	3189543.902
75	3189543.332
76	3189543.274
77	3189542.895
78	3189542.895
79	3189542.848
80	3189542.848
81	3189542.848
82	3189542.428
83	3189542.042
84	3189541.448
85	3189541.063
86	3189540.703
87	3189540.703
88	3189540.703
89	3189540.703
90	3189540.319
91	3189540.318
92	3189540.157
93	3189540.098
94	3189539.92
95	3189539.92
96	3189539.92
97	3189539.918
98	3189539.918
99	3189539.823
100	3189539.823
101	3189539.464
102	3189539.464
103	3189539.464
104	3189539.011
105	3189538.61
106	3189538.61
107	3189538.61
108	3189538.501
109	3189538.501
110	3189538.361
111	3189538.33
112	3189537.814
113	3189537.814
114	3189537.814
115	3189537.812
116	3189537.812
117	3189537.399
118	3189537.399
119	3189536.997
120	3189536.79
121	3189536.391
122	3189536.391
123	3189536.358
124	3189536.303
125	3189536.3
126	3189536.237
127	3189535.853
128	3189535.484
129	3189535.484
130	3189535.452
131	3189535.098
132	3189535.087
133	3189535.087
134	3189535.087
135	3189534.994
136	3189534.621
137	3189534.621
138	3189534.224
139	3189533.84
140	3189533.819
141	3189533.819
142	3189533.375
143	3189533.375
144	3189533.375
145	3189532.82
146	3189532.82
147	3189532.82
148	3189532.707
149	3189532.671
150	3189532.479
151	3189532.479
152	3189532.366
153	3189532.366
154	3189532.366
155	3189531.695
156	3189531.554
157	3189531.456
158	3189531.456
159	3189531.301
160	3189531.212
161	3189530.827
162	3189530.342
