iter	Passed	Remaining
0	163	163522
1	163	81730
2	164	54648
3	164	40964
4	164	32766
5	164	27292
6	164	23403
7	165	20464
8	165	18181
9	165	16358
10	165	14865
11	166	13702
12	166	12640
13	166	11732
14	167	10996
15	167	10314
16	167	9702
17	168	9166
18	168	8677
19	168	8240
20	168	7844
21	168	7485
22	168	7162
23	168	6859
24	168	6583
25	168	6325
26	169	6095
27	169	5874
28	169	5668
29	169	5476
30	169	5298
31	169	5129
32	169	4970
33	169	4821
34	170	4690
35	170	4568
36	170	4446
37	171	4331
38	171	4217
39	171	4109
40	171	4007
41	171	3914
42	171	3820
43	171	3730
44	171	3646
45	171	3564
46	172	3487
47	172	3413
48	172	3341
49	172	3275
50	172	3208
51	172	3145
52	172	3088
53	173	3032
54	173	2974
55	173	2922
56	173	2871
57	173	2820
58	173	2772
59	174	2728
60	174	2683
61	174	2638
62	174	2594
63	174	2552
64	174	2511
65	174	2471
66	174	2432
67	174	2396
68	175	2361
69	175	2326
70	175	2293
71	175	2260
72	175	2230
73	175	2198
74	175	2167
75	175	2139
76	176	2110
77	176	2082
78	176	2054
79	176	2028
80	176	2001
81	176	1975
82	176	1951
83	176	1927
84	177	1910
85	177	1889
86	178	1869
87	178	1847
88	178	1825
89	178	1803
90	178	1782
91	178	1762
92	178	1742
93	178	1722
94	178	1703
95	178	1684
96	178	1665
97	179	1647
98	179	1629
99	179	1612
100	179	1595
101	179	1578
102	179	1561
103	179	1545
104	179	1530
105	180	1520
106	180	1506
107	180	1491
108	180	1476
109	180	1462
110	180	1448
111	180	1434
112	181	1423
113	181	1409
114	181	1396
115	181	1383
116	181	1370
117	181	1358
118	181	1345
119	181	1333
120	182	1322
121	182	1310
122	182	1299
123	182	1288
124	182	1277
125	182	1265
126	182	1255
127	182	1244
128	182	1234
129	182	1223
130	182	1213
131	183	1203
132	183	1193
133	183	1183
134	183	1174
135	183	1164
136	183	1155
137	183	1146
138	183	1137
139	183	1130
140	184	1121
141	184	1112
142	184	1104
143	184	1096
144	184	1087
145	184	1080
146	184	1071
147	184	1063
148	184	1055
149	184	1047
150	185	1040
151	185	1032
152	185	1024
153	185	1017
154	185	1009
155	185	1003
156	185	996
157	185	989
158	185	982
159	185	975
160	186	969
161	186	962
162	186	956
163	186	950
164	186	944
165	186	938
166	186	931
167	186	925
168	186	919
169	187	913
170	187	907
171	187	901
172	187	896
173	187	891
174	187	885
175	187	879
176	188	874
177	188	869
178	188	864
179	188	859
180	188	854
181	189	849
182	189	844
183	189	838
184	189	834
185	189	828
186	189	824
187	189	819
188	189	814
189	190	810
190	190	806
191	190	801
192	190	797
193	190	792
194	191	788
195	192	790
196	193	788
197	193	785
198	194	781
199	194	776
200	194	773
201	194	770
202	195	765
203	195	762
204	195	757
205	195	754
206	195	750
207	195	745
208	195	741
209	196	737
210	196	733
211	196	729
212	196	725
213	196	721
214	196	717
215	196	713
216	196	710
217	197	707
218	197	703
219	197	700
220	197	696
221	197	692
222	197	688
223	197	685
224	197	681
225	197	677
226	198	674
227	198	670
228	198	667
229	198	664
230	198	660
231	198	657
232	198	653
233	198	650
234	198	646
235	198	644
236	199	640
237	199	637
238	199	634
239	199	631
240	199	628
241	199	624
242	199	621
243	199	618
244	199	615
245	199	612
246	200	609
247	200	606
248	200	604
249	200	601
250	200	598
251	200	595
252	200	592
253	200	589
254	200	587
255	201	584
256	201	581
257	201	578
258	201	576
259	201	573
260	201	571
261	201	568
262	202	566
263	202	563
264	202	560
265	202	558
266	202	555
267	202	553
268	203	552
269	203	550
270	203	548
271	203	545
272	203	542
273	203	540
274	204	537
275	204	535
276	204	533
277	204	531
278	204	529
279	204	526
280	204	524
281	204	521
282	205	519
283	205	517
284	205	514
285	205	512
286	205	509
287	205	507
288	205	505
289	205	503
290	205	501
291	205	499
292	205	496
293	206	495
294	206	493
295	206	490
296	206	488
297	206	486
298	206	484
299	206	482
300	206	480
301	206	478
302	206	476
303	207	474
304	207	472
305	207	470
306	207	468
307	207	466
308	207	464
309	207	462
310	207	460
311	207	458
312	208	456
313	208	454
314	208	452
315	208	450
316	208	448
317	208	446
318	208	445
319	208	443
320	208	441
321	208	439
322	208	437
323	209	436
324	209	434
325	209	432
326	209	430
327	209	429
328	209	427
329	209	425
330	209	424
331	210	422
332	210	420
333	210	419
334	210	417
335	210	416
336	210	414
337	210	412
338	210	410
339	210	409
340	211	407
341	211	406
342	211	404
343	211	402
344	211	401
345	211	399
346	211	398
347	211	396
348	211	395
349	211	393
350	212	392
351	212	391
352	212	389
353	212	387
354	212	386
355	212	384
356	212	383
357	212	381
358	212	380
359	213	378
360	213	377
361	213	375
362	213	374
363	213	372
364	213	371
365	213	370
366	213	368
367	213	367
368	213	365
369	214	364
370	214	363
371	214	361
372	214	360
373	214	359
374	214	357
375	214	356
376	214	355
377	214	353
378	215	352
379	215	351
380	215	349
381	215	348
382	215	347
383	216	346
384	216	345
385	216	344
386	216	343
387	216	342
388	216	340
389	217	339
390	217	338
391	217	336
392	217	335
393	217	334
394	217	333
395	217	331
396	217	330
397	217	329
398	217	328
399	217	326
400	218	325
401	218	324
402	218	323
403	218	322
404	218	320
405	218	319
406	218	318
407	218	317
408	218	316
409	218	315
410	219	314
411	219	313
412	219	312
413	219	311
414	219	309
415	220	309
416	220	307
417	220	307
418	220	306
419	221	305
420	221	304
421	221	303
422	221	302
423	221	301
424	221	299
425	221	298
426	221	297
427	221	296
428	221	295
429	221	294
430	222	293
431	222	292
432	222	290
433	222	289
434	222	288
435	222	287
436	222	286
437	222	285
438	222	284
439	222	283
440	222	282
441	223	281
442	223	280
443	223	279
444	223	278
445	223	277
446	223	276
447	223	275
448	223	274
449	223	273
450	223	272
451	223	271
452	223	270
453	223	269
454	224	268
455	224	267
456	224	266
457	224	265
458	224	264
459	224	263
460	224	262
461	224	261
462	225	261
463	225	260
464	225	259
465	225	258
466	225	257
467	225	256
468	225	255
469	226	254
470	226	253
471	226	252
472	226	252
473	226	251
474	226	250
475	226	249
476	226	248
477	226	247
478	226	246
479	226	245
480	227	244
481	227	244
482	227	243
483	227	242
484	228	242
485	228	241
486	228	240
487	228	239
488	228	238
489	228	238
490	228	237
491	228	236
492	229	235
493	229	234
494	229	234
495	229	233
496	229	232
497	229	231
498	229	230
499	229	229
500	229	228
501	230	228
502	230	227
503	230	226
504	230	225
505	230	224
506	230	224
507	230	223
508	230	222
509	230	221
510	230	221
511	231	220
512	231	219
513	231	218
514	231	217
515	231	217
516	231	216
517	231	215
518	232	215
519	232	214
520	232	213
521	232	212
522	232	211
523	232	211
524	232	210
525	232	209
526	232	208
527	232	208
528	232	207
529	232	206
530	233	205
531	233	205
532	233	204
533	233	203
534	233	202
535	233	202
536	233	201
537	233	200
538	233	200
539	233	199
540	234	198
541	234	198
